ID,Major Category,Middle Category,Sub Category,Specification,Unit,Region,Date,Price,Detail Spec,Created At,Updated At
3469156,급배수,배관재(Ⅱ),경질염화비닐관(PVC파이프),"경질염화비닐관(일반용배수관)-VG1 (두꺼운 관) - VN SDR 17 호칭경75㎜, 외경89㎜, 두께5.2(최소)㎜, 중량8,808g/본",본,인천,2023-09-01,31880,,2025-11-21T20:52:17.285467+00:00,2025-11-21T20:52:17.285467+00:00
3469157,급배수,배관재(Ⅱ),경질염화비닐관(PVC파이프),"경질염화비닐관(일반용배수관)-VG1 (두꺼운 관) - VN SDR 17 호칭경75㎜, 외경89㎜, 두께5.2(최소)㎜, 중량8,808g/본",본,부산,2023-09-01,32830,,2025-11-21T20:52:17.285467+00:00,2025-11-21T20:52:17.285467+00:00
3469158,급배수,배관재(Ⅱ),경질염화비닐관(PVC파이프),"경질염화비닐관(일반용배수관)-VG1 (두꺼운 관) - VN SDR 17 호칭경75㎜, 외경89㎜, 두께5.2(최소)㎜, 중량8,808g/본",본,대구,2023-09-01,33470,,2025-11-21T20:52:17.285467+00:00,2025-11-21T20:52:17.285467+00:00
3469159,급배수,배관재(Ⅱ),경질염화비닐관(PVC파이프),"경질염화비닐관(일반용배수관)-VG1 (두꺼운 관) - VN SDR 17 호칭경75㎜, 외경89㎜, 두께5.2(최소)㎜, 중량8,808g/본",본,대전,2023-09-01,33790,,2025-11-21T20:52:17.285467+00:00,2025-11-21T20:52:17.285467+00:00
3469160,급배수,배관재(Ⅱ),경질염화비닐관(PVC파이프),"경질염화비닐관(일반용배수관)-VG1 (두꺼운 관) - VN SDR 17 호칭경75㎜, 외경89㎜, 두께5.2(최소)㎜, 중량8,808g/본",본,광주,2023-09-01,34110,,2025-11-21T20:52:17.285467+00:00,2025-11-21T20:52:17.285467+00:00
3469161,급배수,배관재(Ⅱ),경질염화비닐관(PVC파이프),"경질염화비닐관(일반용배수관)-VG1 (두꺼운 관) - VN SDR 17 호칭경75㎜, 외경89㎜, 두께5.2(최소)㎜, 중량8,808g/본",본,강원,2023-09-01,31560,,2025-11-21T20:52:17.285467+00:00,2025-11-21T20:52:17.285467+00:00
3469162,급배수,배관재(Ⅱ),경질염화비닐관(PVC파이프),"경질염화비닐관(일반용배수관)-VG1 (두꺼운 관) - VN SDR 17 호칭경75㎜, 외경89㎜, 두께5.2(최소)㎜, 중량8,808g/본",본,제주,2023-09-01,34740,,2025-11-21T20:52:17.285467+00:00,2025-11-21T20:52:17.285467+00:00
3469163,급배수,배관재(Ⅱ),경질염화비닐관(PVC파이프),"경질염화비닐관(일반용배수관)-VG1 (두꺼운 관) - VN SDR 17 호칭경75㎜, 외경89㎜, 두께5.2(최소)㎜, 중량8,808g/본",본,서울,2023-10-01,31880,,2025-11-21T20:52:17.285467+00:00,2025-11-21T20:52:17.285467+00:00
3469164,급배수,배관재(Ⅱ),경질염화비닐관(PVC파이프),"경질염화비닐관(일반용배수관)-VG1 (두꺼운 관) - VN SDR 17 호칭경75㎜, 외경89㎜, 두께5.2(최소)㎜, 중량8,808g/본",본,인천,2023-10-01,31880,,2025-11-21T20:52:17.285467+00:00,2025-11-21T20:52:17.285467+00:00
3469165,급배수,배관재(Ⅱ),경질염화비닐관(PVC파이프),"경질염화비닐관(일반용배수관)-VG1 (두꺼운 관) - VN SDR 17 호칭경75㎜, 외경89㎜, 두께5.2(최소)㎜, 중량8,808g/본",본,부산,2023-10-01,32830,,2025-11-21T20:52:17.285467+00:00,2025-11-21T20:52:17.285467+00:00
3469166,급배수,배관재(Ⅱ),경질염화비닐관(PVC파이프),"경질염화비닐관(일반용배수관)-VG1 (두꺼운 관) - VN SDR 17 호칭경75㎜, 외경89㎜, 두께5.2(최소)㎜, 중량8,808g/본",본,대구,2023-10-01,33470,,2025-11-21T20:52:17.285467+00:00,2025-11-21T20:52:17.285467+00:00
3469167,급배수,배관재(Ⅱ),경질염화비닐관(PVC파이프),"경질염화비닐관(일반용배수관)-VG1 (두꺼운 관) - VN SDR 17 호칭경75㎜, 외경89㎜, 두께5.2(최소)㎜, 중량8,808g/본",본,대전,2023-10-01,33790,,2025-11-21T20:52:17.285467+00:00,2025-11-21T20:52:17.285467+00:00
3469168,급배수,배관재(Ⅱ),경질염화비닐관(PVC파이프),"경질염화비닐관(일반용배수관)-VG1 (두꺼운 관) - VN SDR 17 호칭경75㎜, 외경89㎜, 두께5.2(최소)㎜, 중량8,808g/본",본,광주,2023-10-01,34110,,2025-11-21T20:52:17.285467+00:00,2025-11-21T20:52:17.285467+00:00
3480158,급배수,배관재(Ⅱ),일반용폴리에틸렌파이프,"일반용PE하수관-무공관 -  규격450㎜, 외경457.2㎜, 두께17.6㎜, 중량23.211㎏/m",m,전국,2025-03-01,90890,가①격,2025-11-21T20:52:27.891346+00:00,2025-11-21T20:52:27.891346+00:00
3469169,급배수,배관재(Ⅱ),경질염화비닐관(PVC파이프),"경질염화비닐관(일반용배수관)-VG1 (두꺼운 관) - VN SDR 17 호칭경75㎜, 외경89㎜, 두께5.2(최소)㎜, 중량8,808g/본",본,강원,2023-10-01,31560,,2025-11-21T20:52:17.285467+00:00,2025-11-21T20:52:17.285467+00:00
